Date,PG,IBM,GE,F
1996-05-20,13.078868,20.243174,7.665369999999999,7.306794
1996-05-21,13.209472,20.04007,7.563165,7.23274
1996-05-22,13.414697,19.927227,7.710795,7.282112
1996-05-23,13.358726999999998,19.724115,7.688083,7.306794
1996-05-24,13.489332999999998,19.633848,7.722152,7.134
1996-05-28,13.321419,19.543577,7.517744,7.257427000000001
1996-05-29,13.134839000000001,19.295334,7.472314,7.208055
1996-05-30,13.265445999999999,19.363042999999998,7.563165,7.208055
1996-05-31,13.116181,19.272764000000002,7.517744,7.208055
1996-06-03,13.097526,19.024515,7.529097,7.183367
1996-06-04,13.228126000000001,19.114798,7.619944,7.23274
1996-06-05,13.470678,18.93425,7.665369999999999,7.158684
1996-06-06,13.545304000000002,18.279785,7.835711999999999,6.9612039999999995
1996-06-07,13.526648999999999,18.370058,7.801645,6.911834
1996-06-10,13.563956,18.528033999999998,7.813002,6.9365190000000005
1996-06-11,13.414697,18.618305,7.688083,6.887146
1996-06-12,13.340074,18.595743,7.744859,6.911834
1996-06-13,13.321419,18.640875,7.790286999999999,6.837783
1996-06-14,13.30275,18.347498,7.790286999999999,6.788403999999999
1996-06-17,13.228126000000001,18.505468,7.835711999999999,6.788403999999999
1996-06-18,13.097526,18.279785,7.778934,6.788403999999999
1996-06-19,13.414697,18.437759,7.778934,6.887146
1996-06-20,13.470678,18.189522,7.778934,6.837783
1996-06-21,13.545304000000002,17.805864,7.903849,6.714353
1996-06-24,13.657247,17.986407999999997,7.937917,6.590927000000001
1996-06-25,13.955770000000001,18.008972,7.971984,6.467503
1996-06-26,13.955770000000001,17.805864,7.892498,6.27002
1996-06-27,13.619935,17.851011,7.949275,6.393445
1996-06-28,13.526648999999999,17.873568,7.881137,6.393445
1996-07-01,13.526648999999999,18.324935999999997,7.96882,6.51687
1996-07-02,13.30275,18.054113,7.991652,6.615612
1996-07-03,13.321419,17.783304,7.96882,6.294706
1996-07-05,13.097526,17.670462,7.820403,6.195964
1996-07-08,13.060209,17.760735999999998,7.660566,6.0972230000000005
